ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
ffm_soyfocus_moderado_2025,4/4/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3106751,1,3106751,,,
cta_consorcio_vista,4/4/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59254997,1,59254997,,,
prestamo_s_castro,4/4/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
pas_bci_hipotecario,4/4/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61854698,1,61854698,,,
pas_coopeuch_hipotecario,4/4/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,CLP,65668230,1,65668230,,,
cta_bci_cte,4/4/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,43256778,1,43256778,,,
pas_bci_tdc_black,4/4/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,1795996,1,1795996,,,
cta_scotia_cte,4/4/2026,Activo,Circulante,Cuenta corriente,banco scotiabank,,CLP,37161727,1,37161727,,,
pas_sii_impuestos,4/4/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69889,12370353,,,
prop_carmen_590,4/4/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39842,83667612,,,
prop_huanuco_2290,4/4/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39842,99604300,,,
afp_habitat_obligatorio,4/4/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,48663391,1,48663391,,,
cta_estado_vista,4/4/2026,Activo,Circulante,Cuenta vista,banco estado,,CLP,323791,1,323791,,,
inv_estado_ahorro,4/4/2026,Activo,Inversión Poco Líquida,Cuenta ahorro,banco estado,,CLP,200000,1,200000,,,
cta_chile_vista,4/4/2026,Activo,Circulante,Cuenta vista,banco chile,,CLP,393,1,393,,,
cta_bice_vista,4/4/2026,Activo,Circulante,Cuenta vista,banco bice,,CLP,17873,1,17873,,,
acc_itau_enelchile,4/4/2026,Activo,Inversión Líquida,Acción,banco itau,enelchile,CLP,1282909,1,1282909,enelchile,,
acc_itau_habitat,4/4/2026,Activo,Inversión Líquida,Acción,banco itau,habitat,CLP,1063989,1,1063989,HABITAT,,
ffm_itau_moneymarket,4/4/2026,Activo,Inversión Líquida,Fondo,banco itau,money market,CLP,25747,1,25747,,,
inv_coopeuch_cuotas,4/4/2026,Activo,Inversión Poco Líquida,Cuotas de Participación,coopeuch,coopeuch,CLP,787520,1,787520,,,
pas_cheque_pie_huanuco,4/4/2026,Pasivo,Pasivo a Largo Plazo,Cheques,inmobiliaria activa,pie huanuco,CLP,17490000,1,17490000,,,
efectivo_cash,9/4/2026,Activo,Circulante,Efectivo,cash,cash,CLP,350000,1,350000,,,
